sample_id,split,negative_type,n_genes,source_pathway_ids,source_families,source_overlap_count,source_overlap_fraction,cross_same_family,generation_seed,gene_set_sha256
TRAIN_NEG_00000,train,random_5_30,23,,,0,0.0,False,142,68639f6c78c9c517009625fc4f0c12f4528ac94413a6439f6f23d0cd6fae7484
TRAIN_NEG_00001,train,shuffled,20,AC_DETOX1-PWY-1,AraCyc_Misc,0,0.0,False,142,9ec35e9961bac2e4694be6f3d723839c5140ccf7b96ce3c6fcf69177e2692378
TRAIN_NEG_00002,train,partial_50_80,40,ath04070,KEGG_SignalTrans,40,1.0,False,142,00120133d0868e3901a91402005c1fbddd2378506a54a5af9bb3278004e7fcfe
TRAIN_NEG_00003,train,cross_pathway,11,AC_LEUSYN-PWY;AC_PWY-8148,AraCyc_Misc;AraCyc_Misc,11,1.0,True,142,15670d8d83bd4341748e9b827b6e7d0e6ad99edaa6ab7266350f4d041eb1e905
TRAIN_NEG_00004,train,random_5_30,25,,,0,0.0,False,142,cd8725121f269e7fafbc5de288bcf7e150881dac2a937121b044999ec08a620e
TRAIN_NEG_00005,train,shuffled,15,AC_FASYN-ELONG-PWY,AraCyc_Lipid,0,0.0,False,142,72d9258da2a0725c60c9121e7a697dfc9819207a54dd97d1f1e0ccb10e68d36b
TRAIN_NEG_00006,train,partial_50_80,3,AC_PWY-8142,AraCyc_Misc,3,1.0,False,142,eb6b3ebf39d859dbb748d67c3e91b10f670615df07266db7632fecd2d4e13229
TRAIN_NEG_00007,train,cross_pathway,45,AC_BRANCHED-CHAIN-AA-SYN-PWY;ath00561,AraCyc_AminoAcid;KEGG_Lipid,45,1.0,False,142,0effbf058bb398384af13cc463b7e5c506d7c58bbc6497d40ac9324c1e9de796
TRAIN_NEG_00008,train,random_5_30,22,,,0,0.0,False,142,5a23b505343b391756c90b6eb60d44055fa29d579bc768e896b885450d2f1e1b
TRAIN_NEG_00009,train,shuffled,65,ath00073,KEGG_Cellular,0,0.0,False,142,de6ee39db7343b189ab912d392ef7bb659dd06bfc290ab7cd6fff99d3df1faa9
TRAIN_NEG_00010,train,partial_50_80,28,ath04136,KEGG_SignalTrans,28,1.0,False,142,24cd9cf39f4bbf0540670acf0d515a410c6e1bd6ba9e966f60a6176c8788f29f
TRAIN_NEG_00011,train,cross_pathway,10,AC_PWY-6199;AC_PWY-5027,AraCyc_Misc;AraCyc_Misc,10,1.0,True,142,fae084b7078bd625c07b84e9a318200eb26c602a744d98a54516b035a18eeabe
TRAIN_NEG_00012,train,random_5_30,13,,,0,0.0,False,142,371f728fd7717de261828ae0ff1814c3715ccb1ea4f14094bc1ee384ea4ce872
TRAIN_NEG_00013,train,shuffled,28,AC_PWY-5992,AraCyc_Misc,0,0.0,False,142,6b11aedd443ec6c4935fe3e6f28e98e9bd356a013a1d505907b0f5cf6575ff9e
TRAIN_NEG_00014,train,partial_50_80,6,ath03450,KEGG_GeneticInfo,6,1.0,False,142,10b3941b2cbd54385572befa1fe8cfdc19c66acb6ec42a64acb1403c369ec1ee
TRAIN_NEG_00015,train,cross_pathway,27,ath04981;AC_PWY-4221ARA,KEGG_SignalTrans;AraCyc_Misc,27,1.0,False,142,4f59870d4722c25a7ccc020ab894f4c1fde74b41887e17a670bb31654c8bf390
TRAIN_NEG_00016,train,random_5_30,13,,,0,0.0,False,142,760d60e6e6629ae98d4e59f0668d6743ae442a8025158dbf75300f9d63c90a60
TRAIN_NEG_00017,train,shuffled,59,AC_LIPASYN-PWY,AraCyc_Misc,0,0.0,False,142,a30ccb71898fb3658e0e9a4a107cf8cd364654d4968ade146bb91893deaf3d73
TRAIN_NEG_00018,train,partial_50_80,4,AC_PWY-5800,AraCyc_Misc,4,1.0,False,142,7a902b7818eba8dc007fcb74347d50bf1418e752d2ff32e92db86fdf622e2631
TRAIN_NEG_00019,train,cross_pathway,22,AC_PWY-7238;AC_ASPARAGINE-DEG1-PWY-1,AraCyc_Carbohydrate;AraCyc_Misc,22,1.0,False,142,3582bdd4c91dcac8892260b0626f853f7a507c6437741e6ab780e45dc378fb23
TRAIN_NEG_00020,train,random_5_30,23,,,0,0.0,False,142,0360d1bfea00f81203a7fd9cff78f4ef7fe8016702cba9b1af120fb821a9b4d9
TRAIN_NEG_00021,train,shuffled,6,AC_PWY-7184,AraCyc_Nucleotide,0,0.0,False,142,966d2ee30fcbbc8954427809a975f340108f752a8ddb8cda6038df44d3420fc6
TRAIN_NEG_00022,train,partial_50_80,29,AC_PWY-5321,AraCyc_Misc,29,1.0,False,142,e451d56464941875ec1def895b32cb935f954189c042bbb9ce939f540a893f91
TRAIN_NEG_00023,train,cross_pathway,8,AC_PWY-3461;AC_PWY-5143,AraCyc_Misc;AraCyc_Lipid,8,1.0,False,142,cc8e220f7f281ccf2421c8966780883e4ffb786f7cb71b7041df2e4978cec1c7
TRAIN_NEG_00024,train,random_5_30,14,,,0,0.0,False,142,0b2e0ca8a74fb47fd6bff16451d96c5916380cf10714eb3671e86edb017b964e
TRAIN_NEG_00025,train,shuffled,27,AC_PWY-5147,AraCyc_Misc,0,0.0,False,142,9a49c58da4ef53bef1db2fb555d1d7eba8c9a68b8aee376931326628f3c5d764
TRAIN_NEG_00026,train,partial_50_80,18,AC_PWY-7200,AraCyc_Nucleotide,18,1.0,False,142,6eb44c878c42e1503235db2737090fe7ffd4086ee14f02cc4c7e082dde14de68
TRAIN_NEG_00027,train,cross_pathway,7,AC_COA-PWY;AC_PWY-5041,AraCyc_Misc;AraCyc_AminoAcid,7,1.0,False,142,068a96fd79a96d4ddc528733c43925553b90875bb2ab27a86c0f4c6219c77f92
TRAIN_NEG_00028,train,random_5_30,9,,,0,0.0,False,142,cbecf95285e84f9766d8b554897db24ad5ddfe48d6b618433437eacf05f3ff6f
TRAIN_NEG_00029,train,shuffled,223,ath04141,KEGG_SignalTrans,3,0.013452914798206279,False,142,074d779dabc3bf67cab5b0d0254eccb147e77e69e435e047b6d7bff1b50824fc
TRAIN_NEG_00030,train,partial_50_80,10,AC_PWY66-430,AraCyc_Misc,10,1.0,False,142,2027be72b7f2124a167a344b16df9936a319cce89e7b54198893470cae5ce01a
TRAIN_NEG_00031,train,cross_pathway,10,ath00902;AC_PWY-6612,KEGG_Cellular;AraCyc_Cofactor,10,1.0,False,142,706fe753cb033b97edae89c4beae242940d7d87b77bc241fe03b55714da8b960
TRAIN_NEG_00032,train,random_5_30,6,,,0,0.0,False,142,a18b7d2f5cc559ddddbfb4b4759f71a3d384a5072e0ddf03fd5fbd54f130bec3
TRAIN_NEG_00033,train,shuffled,11,AC_PWY-5386-1,AraCyc_Misc,0,0.0,False,142,fbe8c3dac2ee195f482a1f05801ae2386b9a62ab93225064d4727ddbc528f634
TRAIN_NEG_00034,train,partial_50_80,10,AC_ASPASN-ARA-PWY,AraCyc_Misc,10,1.0,False,142,0ccddc6428ba6622beca3bc9584320107052120f2c29beb555fcb10a21e77652
TRAIN_NEG_00035,train,cross_pathway,28,ath00071;AC_HISTSYN-PWY,KEGG_Lipid;AraCyc_Misc,28,1.0,False,142,00377c9429ca4722ad8a5334a7995ec5cba12826a6ddc4d517af19598e4816bb
TRAIN_NEG_00036,train,random_5_30,12,,,0,0.0,False,142,1f2c92a40955ccbc17e3ce05419949183043e599438d30aca5034cffa29d5188
TRAIN_NEG_00037,train,shuffled,13,ath00514,KEGG_Lipid,0,0.0,False,142,ae861f9dea121d56a44a37ea333f06d9d7eb8fd6775117f2cf7163c679e0107b
TRAIN_NEG_00038,train,partial_50_80,4,AC_PWY-6908,AraCyc_Cofactor,4,1.0,False,142,0199b5ce87a546183992fe1fba2f1ed69ef829051ff3715e2c5c8d94acf17cf4
TRAIN_NEG_00039,train,cross_pathway,83,ath00190;AC_PWY-5129,KEGG_Metabolism;AraCyc_Lipid,83,1.0,False,142,2b9b1ef59c8191c1483490f271d851f5a941394f6745254154f04a909318c825
TRAIN_NEG_00040,train,random_5_30,18,,,0,0.0,False,142,51e94908810dc4dd30d374e6c923d3afb9c58e5b74443b855ce3bb025860c3f0
TRAIN_NEG_00041,train,shuffled,12,AC_PWY-5788,AraCyc_Misc,0,0.0,False,142,d6672ace35f49ba5fafe9e490d81141f3b1fe926ff2add1d55aa9cb3a7e89b87
TRAIN_NEG_00042,train,partial_50_80,7,ath00566,KEGG_Lipid,7,1.0,False,142,51b03c55308790b6f7a7222b518d45bc9179d1db7a7736215bc9ddd868eaae27
TRAIN_NEG_00043,train,cross_pathway,4,AC_PWY-5269;AC_PWY-8475,AraCyc_Misc;AraCyc_Misc,4,1.0,True,142,c888333b991368b87493a75b7ddbdb08e61d12134f2506f9ddefc1cc9dd57deb
TRAIN_NEG_00044,train,random_5_30,16,,,0,0.0,False,142,d3c01da7a28a0c295a15667ba7c5be1ce23a6e4e25d6832552d26a295f73403d
TRAIN_NEG_00045,train,shuffled,102,ath00480,KEGG_Cellular,2,0.0196078431372549,False,142,bb91ce2853a234fe491faa8cb0ddf7074d0d9880bac0db184fe6af695ea0a53c
TRAIN_NEG_00046,train,partial_50_80,6,AC_PWY0-1319,AraCyc_Misc,6,1.0,False,142,c10fabd9408c07f3733134ef0652e1e4593f20453a1eaea4f964b81c709b525f
TRAIN_NEG_00047,train,cross_pathway,15,AC_PWY-181;AC_PWY-5046,AraCyc_Misc;AraCyc_Misc,15,1.0,True,142,4ff69883a4c49135521786a5a5f3676c57924c656453d1c0770718c93e179ab2
TRAIN_NEG_00048,train,random_5_30,20,,,0,0.0,False,142,439b80a6c9fed0b383d5328a0845bf063dd862943fc7e3dd0dc722a0cf41675d
TRAIN_NEG_00049,train,shuffled,22,ath00950,KEGG_Cellular,0,0.0,False,142,413ac5a9165f5ea7bdd3f2d5d5563edb789cdf18b01713c1e9cb499684f00037
TRAIN_NEG_00050,train,partial_50_80,8,AC_PWY-4221ARA,AraCyc_Misc,8,1.0,False,142,f6d2676040e1a6286e4bd47935750cab397c1e1141ec343e81858a62607a148b
TRAIN_NEG_00051,train,cross_pathway,14,AC_PWY3O-450;AC_PWY-181,AraCyc_Misc;AraCyc_Misc,14,1.0,True,142,c5734f40e626d156f244f097860f2387cc9765d500587b210c0d402b7a037565
